date,user,coordinates,text,place,bounding_box
Sat Jul 17 18:32:12 +0000 2021,edusoteras,no coordinates,One of the photos of our work at @afp Ethiopia among the 20 photos of the week in The Guardian  @AFPphoto… https://t.co/LdjPXvbK2B,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 18:34:20 +0000 2021,GetachewSS,no coordinates,My latest @TheNationalNews https://t.co/lWkiojKHA4 #EverydayEthiopia,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 18:37:38 +0000 2021,himaawol,no coordinates,@DagmTeshome @ma_h_der I love you ትጠላለህ 😂😂@ma_h_der i just want to say i love you,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 18:39:25 +0000 2021,cubasoyyo,no coordinates,@robertosaviano E qui sbagli alla grande. Per la prima volta stai toppando. Ti voglio bene lo stesso ma informati b… https://t.co/NDM4oMKuUj,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 18:40:36 +0000 2021,himaawol,no coordinates,@heyab_ @DagmTeshome @ma_h_der ነው,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 18:43:02 +0000 2021,himaawol,no coordinates,@heyab_ @DagmTeshome @ma_h_der 🤗🤗 🥰😘 💃,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 18:49:45 +0000 2021,yareddoe,no coordinates,@Biniam26 @Tsedenia10 Get a brain first then we can talk 😩,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 18:57:28 +0000 2021,MOHIT881923,[38.79615249 8.98305534],Transit (@ Addis Ababa Bole International Airport in Addis Ababa Ādīs Ābeba Āstedader) https://t.co/5owocClPDC,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:01:58 +0000 2021,ismaelseidgmai1,no coordinates,@amnesty report on Tirgrain arbitrary arrest in Addis Ababa is manufactured evidence! No wonder @Amnesty using a pi… https://t.co/keVculXYVT,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:03:55 +0000 2021,Tech51575673,no coordinates,@PamelaFalk @FrehiwotGzr We said and said  and said for so many times that the day care leader is the worst lair so… https://t.co/WVsIff48Zb,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:04:29 +0000 2021,Gadet3,no coordinates,@altraifi24 اي اي متعة اخر شي,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:05:16 +0000 2021,ina_galayr,no coordinates,TPLF’s new apologist groups are trying to create a fake narrative. The writer of this article has spewed lie after… https://t.co/IrY8ROUYbV,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:06:25 +0000 2021,Tech51575673,no coordinates,They alwas try to search fo cases to cover up their tragedy,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:07:37 +0000 2021,YonatanAyele2,no coordinates,ኧረ ሰዎች single እንዳልነበርኩ..........በዚህ ክረምት text እየበዛብኝ ነው ምን ይሻለኛል???ሰናይ አዳር🙌🙌💚💛❤,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:09:28 +0000 2021,himaawol,no coordinates,@KasayeRH healing from childhood rejection request lots of courage and he did that  gracefully with forgiveness,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:13:16 +0000 2021,Ednajonahh,no coordinates,When I look at the photo it looks like the paintings I saw in museums in Paris and Portugal and Greece.It looks… https://t.co/9fDWIvRXZP,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:13:39 +0000 2021,himaawol,no coordinates,@DagmTeshome @ma_h_der @lemnsissay i know u would አንተ እኮ አታስብ,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:13:55 +0000 2021,Ednajonahh,no coordinates,One main character of racist hegemonic Ethiopia is its primitive approach to gender issues - accurately displayed i… https://t.co/rPpAejfMvm,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:16:25 +0000 2021,bedmos2000,no coordinates,@amnesty Stop lies stop lies stop lies stop liesstop lies stop lies #FAKE PICTURE AMNESTY https://t.co/t0mJGH2Ysh,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:16:31 +0000 2021,alemu_markos,no coordinates,@LanderMiddle @SavetheChildren @WarChildUK Right! But still @Reuters is reporting different story misrepresenting… https://t.co/wikEyXLXHR,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:17:19 +0000 2021,himaawol,no coordinates,@DagmTeshome @ma_h_der @lemnsissay ሰኞ ጥዋት ማኪያቶ እንጠጣ,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:19:22 +0000 2021,bedmos2000,no coordinates,@amnesty STOP lies stop support the terrorist TPLF https://t.co/E57peP7lfW,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:21:41 +0000 2021,EWhrdc,no coordinates,Our poetry session presented so beautifully by Poetic Saturdays. We don't realize how much power literature holds a… https://t.co/jQ2qadHvLq,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:24:33 +0000 2021,abdurah45409142,no coordinates,suuran ilmaan oromoo asiin gaadi tuun.yuniivarsiiti naanno amaarati dhaagan caafaqaani gaatanii.akkaanan opdon birm… https://t.co/YR3xNO7mL0,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:26:24 +0000 2021,EWhrdc,no coordinates,https://t.co/94kPRLU3nd,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:27:01 +0000 2021,alemu_markos,no coordinates,@LanderMiddle @SavetheChildren @WarChildUK Right! But still @Reuters is reporting different story exaggerating th… https://t.co/CYl0USETb1,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:28:29 +0000 2021,Ambrosi85248375,no coordinates,😜 https://t.co/xKEHH9QUHh,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:29:09 +0000 2021,GedoGovernor,no coordinates,Along with the Ministerial committee from Somalia FMS in Garbaharey regional district 4 the implementation of Baido… https://t.co/y8ZRJdLHaP,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:29:27 +0000 2021,dani24872487,no coordinates,Congra 🇪🇹  https://t.co/vo9kE2f46S,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:31:42 +0000 2021,Ambrosi85248375,no coordinates,😋 https://t.co/eN4k16ceTV,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:31:44 +0000 2021,fassila,no coordinates,https://t.co/ed1IIywI4V,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:38:11 +0000 2021,alemu_markos,no coordinates,@mfaethiopia @Ethiopian No surprise! We already know TPLF openly massacre people of Tigray and project it to the go… https://t.co/j9YP1IlqDv,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:41:09 +0000 2021,YonatanAyele2,no coordinates,@Rahmiini 😂😂😂 ኧረ ማስታወቂያቸውን አላየሽም እንዴ ጎበዞች ናቸው።,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:44:41 +0000 2021,alemu_markos,no coordinates,@mfaethiopia @Ethiopian No surprise! We very well know the terror activities of the TPLF even openly massacre peop… https://t.co/PyTVZsNDZL,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:45:41 +0000 2021,alemu_markos,no coordinates,@mfaethiopia @Ethiopian No surprise! We very well know the terror activities of the TPLF even openly massacre peop… https://t.co/1JEk2DAY8d,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:47:14 +0000 2021,himaawol,no coordinates,Happening Now @lemnsissay is answering questions. Plz join its so interesting https://t.co/pAzzbi1aoT,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:53:42 +0000 2021,AshebirWondie,no coordinates,@EthiopianNewsA @Ethiopian https://t.co/WIN8j77wPU,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:54:27 +0000 2021,AshebirWondie,no coordinates,@EthiopianNewsA @Ethiopian https://t.co/SFXblAsDE1,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 19:56:44 +0000 2021,Dawit7411,no coordinates,@Keri_Jud እቺ ጥበብ ግን ስንቱን ነው እንቅልፍ የምታሳጣው,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:02:42 +0000 2021,GebreKinde,no coordinates,አጭር መልዕክት ለአማራ ክልል  አስተዳደር  ለክቡር  አቶ አገኘሁ ተሻገር  ((ሌላውን ነገር )) ተውትና ክልሉን ታደጉት,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:06:28 +0000 2021,SudaneseCulture,no coordinates,Kandake Amanirenas:Was a queen of the Meroitic Kingdom of Kush، She reigned from about 40 BCE to 10 BCE… https://t.co/2BMuHSSXUs,Sudan,[[[21.814951 8.632368] [21.814951 22.000257] [38.926758 22.000257] [38.926758 8.632368]]]
Sat Jul 17 20:17:02 +0000 2021,Semira_AM,no coordinates,@JHWandall Yes Addis is so cold. Home.,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:18:22 +0000 2021,AbenezerGeberie,no coordinates,My focus here is just the US foreign policy aspect.  What is going on in Washington how do we explain US governmen… https://t.co/HaERBjNUUx,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:19:50 +0000 2021,AbenezerGeberie,no coordinates,Is it all part of a broader strategy related to China or is it related to Egypt? I have not seen anyone answer this… https://t.co/iVW5xRjh0P,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:21:48 +0000 2021,alemu_markos,no coordinates,@Achamyeleh1986 @GetachewSS @AJEnglish Drinking Drinking and Drinking: then boozing and talking nonsense! Canada po… https://t.co/7nw8HIfWYH,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:22:19 +0000 2021,AbenezerGeberie,no coordinates,መቼም በእድሜ ታላቅ በመሆንዎ እስርዎ ልበል እና አንድ ጥያቄ ልጠይቅ።አቶ ክንደያ ገብረህይወት አዕምሮዎት ይሰራልን?,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:23:13 +0000 2021,4Gojam,no coordinates,@SheabiaForever በጣም    ደስ   የሚል   ቀን ❤️❤️,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:24:31 +0000 2021,TayeNani,no coordinates,@simpp4you @Zesemir https://t.co/e1sogA19Sz,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:26:38 +0000 2021,alemu_markos,no coordinates,@AberaabayAbay @mfaethiopia @Ethiopian You don’t care for the food blockage? Starving innocent people of Tigray? Wh… https://t.co/88VHqAY1Zl,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:27:50 +0000 2021,jay_kuto,no coordinates,Uthando ❤️,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:27:51 +0000 2021,Yibeltie,no coordinates,Beautiful soul.,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:30:59 +0000 2021,Dagnubeyene,no coordinates,@UnityForEthio #EthiopiaPrevails https://t.co/geltOvZe39,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:33:08 +0000 2021,Dagnubeyene,no coordinates,I am Sad !!@UnityForEthio,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:37:49 +0000 2021,alemu_markos,no coordinates,@dejene_2011 @USAGov @SecBlinken @NeaminZeleke @ChrisCoons @USEmbassyAddis @JustinTrudeau @JamesCleverly… https://t.co/7daN7xXGhJ,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:38:17 +0000 2021,NahomTadelle,no coordinates,Rise like #GERD! GOD is unilaterally filling the Dam we can’t fight nature. Get ready to celebrate 🇪🇹🕺👏🏾🕺🇪🇹… https://t.co/Zim8WpVOJf,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:39:50 +0000 2021,HawareyatT,no coordinates,The late Sekuture Getachew exposed TPLF's crimes of attacking the Federal Ethiopian soldiers on the night of Novemb… https://t.co/RC9cQsY5Qt,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:41:55 +0000 2021,NegashZinabu,no coordinates,#TPLFterrorists are using #ChildSoldiers to fight #Ethiopians in Violation of Rome Statute of the International Cri… https://t.co/ANEMBV45RP,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:44:06 +0000 2021,alemu_markos,no coordinates,@fanatelevision It’s imminent for the total failure of TPLF and he’s trying to be the only survivor to tell the sto… https://t.co/EpTbAQ00yM,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:50:02 +0000 2021,AbdetaLalisa,no coordinates,Hundumtu gati qaba seena waan tokko qofa fudhaa Dhiigaa holicha ⓉⒽⒺⒷⓁⓄⓄⒹⓄⒻ ⓙⒺⓈⓊⓢDhiigaa holichahttps://t.co/rBsuRklRRn,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 20:53:31 +0000 2021,alemu_markos,no coordinates,@Reuters Ethiopian government mobilized militias from different regions to show the world how Ethiopians are United… https://t.co/QMAXCOCpjb,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:18:50 +0000 2021,WendieCmc,no coordinates,#አስመራ ተነስቶ ወልቃይት መርዙን ተፋ #ሽሬ እና #መቀሌ ይሆናል የከፋ#ሼህሁሴንጅብሪል,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:21:28 +0000 2021,VeJfJb3eli7RlWg,no coordinates,NewYork Times described TPLF’s child soldiers as “highly motivated young recruits”@AFP @FRANCE24 @washingtonpost… https://t.co/zNtjfEcvcV,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:21:35 +0000 2021,VeJfJb3eli7RlWg,no coordinates,While incriminating #EthiopianGovt for every problem under the sun and moving the gold post every 15 minutes human… https://t.co/JfC4Tw2Kb5,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:21:40 +0000 2021,VeJfJb3eli7RlWg,no coordinates,After reading the recent #NYT story in Tigray with the picture of child soldiers humanitarian agencies in Tigray w… https://t.co/XucQ3uLvLV,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:21:49 +0000 2021,VeJfJb3eli7RlWg,no coordinates,I never thought a day would come when I’d agree with @POTUS45 well that day has come‼️The failed #NYT reports TPL… https://t.co/GosZlXq8WL,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:21:55 +0000 2021,VeJfJb3eli7RlWg,no coordinates,The reputation of #NYT is at stake when it glorified #TPLFterrorists using #childsoldiers to fight #Ethiopians.… https://t.co/qj0Tb8NOpi,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:21:59 +0000 2021,VeJfJb3eli7RlWg,no coordinates,The #UN Millennium Declaration of 2002 affords protection for human rights “especially children and the most vulner… https://t.co/HzYODN5v5w,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:22:04 +0000 2021,VeJfJb3eli7RlWg,no coordinates,#TPLFterrorists are using #childsoldiers to fight #Ethiopians against #AU’s “the #Afican Charter on the rights &amp; we… https://t.co/DGRVovQjwH,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:22:12 +0000 2021,VeJfJb3eli7RlWg,no coordinates,#TPLFterrorists are using #childsoldiers to fight #Ethiopians in Violation of Rome Statute of the International Cri… https://t.co/vNFJvpCL1B,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:22:23 +0000 2021,VeJfJb3eli7RlWg,no coordinates,ድል ለመከላከያ ሰራዊታችን! የኢትዮጵያ ክብር እና ኩራት! የተማረኩትን ህጻናት ተንከባክቦአቸው! የተከበረው ታሪካችን ያዛል!#ChildrenNotSoldiers #ChildrenNotSoldiers #UnityForEthiopia,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:22:29 +0000 2021,VeJfJb3eli7RlWg,no coordinates,@VOAAmharic ለምን ስለ ህወሓት ህጻናትን በውትድርና ማሰለፍ አታወሩም? #ChildrenNotSoldiers #ChildrenNotSoldiers @SenateForeign @RepKarenBas @RepGregoryMeeks,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:22:34 +0000 2021,VeJfJb3eli7RlWg,no coordinates,መንግሉና ጣሉት ! @mfaethiopia 'መንግሥት አንዳንድ የሰብዓዊ እርዳታ ድርጅቶችን ከሃገር ሊያስወጣ እንደሚችል አስጠነቀቀ' @VOAAmharic #UnityForEthiopia… https://t.co/Zya8FUfWHh,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:22:38 +0000 2021,EyobTolina,no coordinates,This is reckless! Of all the madness of #TPLFites putting at risk a much needed humanitarian support in #Tigray is… https://t.co/aEvHo2DMek,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:23:40 +0000 2021,VeJfJb3eli7RlWg,no coordinates,@AFP @AJEnglish @BBCWorld all run to shout about the 'gallantry' of TPLF. When the Child Soldiers story surfaced t… https://t.co/8DTl25uAZN,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:24:00 +0000 2021,VeJfJb3eli7RlWg,no coordinates,What is Teddy's @DrTedros 'Comment!' on Child Soldiers of TPLF. He cannot hide it as the origin of COVID19!… https://t.co/QTh1fJmAmH,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:27:42 +0000 2021,BelachewSeyoum,no coordinates,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary Yes July 2014,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:29:14 +0000 2021,alemu_markos,no coordinates,@fanatelevision Now the Western media @nytimesworld @guardian @cnni @ForeignPolicy @BBCWorld @AJEnglish and Wester… https://t.co/MnU3diyd1K,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:30:33 +0000 2021,alemu_markos,no coordinates,@fanatelevision Now the Western media @nytimesworld @guardian @cnni @ForeignPolicy @BBCWorld @AJEnglish and Wester… https://t.co/DIT7W06Kcr,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:36:50 +0000 2021,alemu_markos,no coordinates,@tesfayeshiferaw @SaraGetachew18 @fanatelevision @WFP @UnityForEthio @UN @USAmbUN @martinplaut @CohenOnAfrica TPLF… https://t.co/frE1RWclrk,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:41:42 +0000 2021,alemu_markos,no coordinates,@DerejeMelaku2 Has he ever been truly Ethiopian? While he was a top leader of the cessation TPLF? He was originally… https://t.co/f6UJspaKBg,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 21:51:35 +0000 2021,SeyfadinG,no coordinates,@tigrayisme Really uh!  we will see it then what u eat that’s not simple,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 22:13:28 +0000 2021,alemu_markos,no coordinates,@ProfKindeya Why disturbing for you? You deliberately made the war rejecting all tireless offers of peace from… https://t.co/5T9plo101Z,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 22:19:52 +0000 2021,Odaw_g,no coordinates,Moral values are universal it’s not something the West posses and rest of us lack. We 🇪🇹 will push back our uninvi… https://t.co/d9fzKsVWBl,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 22:24:08 +0000 2021,Brookyirga,[38.73694444 9.02722222],Just posted a photo @ Addis Ababa https://t.co/2JSBrq7IzP,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 22:32:32 +0000 2021,anbesite,no coordinates,l’amour que je ressens pour ces filles @RuthShibeshi @hilina57🤍I didn’t realize HOW MUCH (how much!!) I missed the… https://t.co/vPmnRCsDxM,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 22:49:27 +0000 2021,rocanomundo,[38.06666667 13.18333333],Acabou de publicar uma foto em Simien Mountains National Park https://t.co/T8CfD2ffTp,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 23:12:14 +0000 2021,yareddoe,no coordinates,Ere weyoooo violation 😭🤣🤣🤣 https://t.co/Km1E0dG69q,Arat kilo,[[[38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626]]]
Sat Jul 17 23:30:28 +0000 2021,ElyasTeklu,no coordinates,Check out ሰላም ክርስቶስ ነው's video! #TikTok https://t.co/AbEf62BP6D,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 23:39:06 +0000 2021,GirmaGemechu12,no coordinates,https://t.co/kNIVVbKzab,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sat Jul 17 23:47:41 +0000 2021,Bigback84,no coordinates,🤣,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sun Jul 18 00:29:35 +0000 2021,ethiopia_planet,no coordinates,Check out BUSINESS PLANET INTERNTIONAL👍: https://t.co/dZuJmGnYtj https://t.co/IO9z3z2YtT,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sun Jul 18 00:29:49 +0000 2021,ethiopia_planet,no coordinates,Check out BUSINESS PLANET INTERNTIONAL👍: https://t.co/dZuJmGnYtj https://t.co/VlNs74Ubn7,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sun Jul 18 00:30:15 +0000 2021,ethiopia_planet,no coordinates,Check out BUSINESS PLANET INTERNTIONAL👍: https://t.co/dZuJmGnYtj https://t.co/wvjL0cRJ98,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sun Jul 18 00:30:31 +0000 2021,ethiopia_planet,no coordinates,Check out BUSINESS PLANET INTERNTIONAL👍: https://t.co/dZuJmGnYtj https://t.co/gnZvyfafC8,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Sun Jul 18 00:30:44 +0000 2021,ethiopia_planet,no coordinates,Check out BUSINESS PLANET INTERNTIONAL👍: https://t.co/dZuJmGnYtj https://t.co/Vmz4G6DDGY,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
